	path	sentence
0	common_voice_en_22005778_noise_0.03	yes
1	common_voice_en_22310890_pitch_0.8	yes
2	common_voice_en_21960400_pitch_1.2	three
3	common_voice_en_21875014_noise_0.03	two
4	common_voice_en_22302952_noise_0.03	no
5	common_voice_en_22147276_pitch_0.8	one
6	common_voice_en_22305996_pitch_1.2	no
7	common_voice_en_22322689_noise_0.03	yes
8	common_voice_en_22326093_noise_0.03	yes
9	common_voice_en_22311541_pitch_0.8	yes
10	common_voice_en_22305796_pitch_1.2	yes
11	common_voice_en_21880959_noise_0.03	yes
12	common_voice_en_22115395_noise_0.03	one
13	common_voice_en_22029992_pitch_0.8	four
14	common_voice_en_21948671_pitch_1.2	no
15	common_voice_en_22323609_noise_0.03	yes
16	common_voice_en_22305409_noise_0.03	yes
17	common_voice_en_21891438_pitch_0.8	yes
18	common_voice_en_22191852_pitch_1.2	yes
19	common_voice_en_22194380_noise_0.03	no
20	common_voice_en_22136879_noise_0.03	two
21	common_voice_en_21924678_pitch_0.8	two
22	common_voice_en_22180827_pitch_1.2	one
23	common_voice_en_22329808_noise_0.03	yes
24	common_voice_en_22292639_noise_0.03	no
25	common_voice_en_21924986_pitch_0.8	four
26	common_voice_en_22311740_pitch_1.2	yes
27	common_voice_en_22190914_noise_0.03	yes
28	common_voice_en_21946167_noise_0.03	four
29	common_voice_en_21888893_pitch_0.8	two
30	common_voice_en_22087501_pitch_1.2	one
31	common_voice_en_22320732_noise_0.03	yes
32	common_voice_en_22193475_noise_0.03	yes
33	common_voice_en_22305458_pitch_0.8	yes
34	common_voice_en_22308196_pitch_1.2	yes
35	common_voice_en_22155074_noise_0.03	yes
36	common_voice_en_22324112_noise_0.03	yes
37	common_voice_en_22065284_pitch_0.8	three
38	common_voice_en_22057744_pitch_1.2	four
39	common_voice_en_21968145_noise_0.03	yes
40	common_voice_en_22305140_noise_0.03	yes
41	common_voice_en_22102701_pitch_0.8	two
42	common_voice_en_22102705_pitch_1.2	four
43	common_voice_en_22127564_noise_0.03	no
44	common_voice_en_22137578_noise_0.03	three
45	common_voice_en_21987366_pitch_0.8	yes
46	common_voice_en_22132884_pitch_1.2	two
47	common_voice_en_22167381_noise_0.03	no
48	common_voice_en_22316050_noise_0.03	yes
49	common_voice_en_22071434_pitch_0.8	yes
50	common_voice_en_22011071_pitch_1.2	one
51	common_voice_en_22010904_noise_0.03	one
52	common_voice_en_22194846_noise_0.03	two
53	common_voice_en_22194856_pitch_0.8	no
54	common_voice_en_21946506_pitch_1.2	yes
55	common_voice_en_22059477_noise_0.03	four
56	common_voice_en_22074804_noise_0.03	no
