path	sentence
common_voice_en_22005778	yes
common_voice_en_22310890	yes
common_voice_en_21960400	three
common_voice_en_22316853	yes
common_voice_en_22327660	yes
common_voice_en_21875014	two
common_voice_en_22158989	two
common_voice_en_22227005	four
common_voice_en_22300196	no
common_voice_en_22076105	four
common_voice_en_22302952	no
common_voice_en_22147276	one
common_voice_en_22305996	no
common_voice_en_22299656	yes
common_voice_en_22329600	yes
common_voice_en_22322689	yes
common_voice_en_22142881	one
common_voice_en_22096526	four
common_voice_en_22325243	yes
common_voice_en_22325571	yes
common_voice_en_22326093	yes
common_voice_en_22311541	yes
common_voice_en_22305796	yes
common_voice_en_22324704	yes
common_voice_en_22328021	yes
common_voice_en_21880959	yes
common_voice_en_22321275	yes
common_voice_en_22213082	yes
common_voice_en_21956591	one
common_voice_en_22204078	one
common_voice_en_22115395	one
common_voice_en_22029992	four
common_voice_en_21948671	no
common_voice_en_22325534	yes
common_voice_en_22301813	yes
common_voice_en_22323609	yes
common_voice_en_22193844	yes
common_voice_en_22106098	one
common_voice_en_22074397	yes
common_voice_en_22204346	four
common_voice_en_22305409	yes
common_voice_en_21891438	yes
common_voice_en_22191852	yes
common_voice_en_22327598	yes
common_voice_en_21963671	yes
common_voice_en_22194380	no
common_voice_en_22299754	yes
common_voice_en_22214449	yes
common_voice_en_22193190	one
common_voice_en_22164273	four
common_voice_en_22136879	two
common_voice_en_21924678	two
common_voice_en_22180827	one
common_voice_en_22262704	yes
common_voice_en_22153850	three
common_voice_en_22329808	yes
common_voice_en_22301482	no
common_voice_en_22301509	yes
common_voice_en_21963703	two
common_voice_en_22222212	one
common_voice_en_22292639	no
common_voice_en_21924986	four
common_voice_en_22311740	yes
common_voice_en_22326107	yes
common_voice_en_22308154	yes
common_voice_en_22190914	yes
common_voice_en_21877831	four
common_voice_en_22012295	no
common_voice_en_22095295	two
common_voice_en_22309364	yes
common_voice_en_21946167	four
common_voice_en_21888893	two
common_voice_en_22087501	one
common_voice_en_22322782	yes
common_voice_en_22324995	yes
common_voice_en_22320732	yes
common_voice_en_22315210	yes
common_voice_en_22073267	four
common_voice_en_22325166	yes
common_voice_en_22301910	yes
common_voice_en_22193475	yes
common_voice_en_22305458	yes
common_voice_en_22308196	yes
common_voice_en_22032986	four
common_voice_en_22105653	four
common_voice_en_22155074	yes
common_voice_en_22329160	yes
common_voice_en_22089184	no
common_voice_en_22324603	yes
common_voice_en_22329640	yes
common_voice_en_22324112	yes
common_voice_en_22065284	three
common_voice_en_22057744	four
common_voice_en_21900239	yes
common_voice_en_21968136	four
common_voice_en_21968145	yes
common_voice_en_22204350	three
common_voice_en_22204351	yes
common_voice_en_22191177	one
common_voice_en_22316387	yes
common_voice_en_22305140	yes
common_voice_en_22102701	two
common_voice_en_22102705	four
common_voice_en_22155175	no
common_voice_en_22076573	yes
common_voice_en_22127564	no
common_voice_en_22215334	yes
common_voice_en_22216676	yes
common_voice_en_22091010	four
common_voice_en_22137575	two
common_voice_en_22137578	three
common_voice_en_21987366	yes
common_voice_en_22132884	two
common_voice_en_21920919	two
common_voice_en_21920920	one
common_voice_en_22167381	no
common_voice_en_22180578	one
common_voice_en_22148456	one
common_voice_en_22247860	yes
common_voice_en_22317996	yes
common_voice_en_22316050	yes
common_voice_en_22071434	yes
common_voice_en_22011071	one
common_voice_en_21989389	yes
common_voice_en_22122252	one
common_voice_en_22010904	one
common_voice_en_22010907	no
common_voice_en_22316839	yes
common_voice_en_22314472	yes
common_voice_en_22120094	yes
common_voice_en_22194846	two
common_voice_en_22194856	no
common_voice_en_21946506	yes
common_voice_en_22011038	no
common_voice_en_22293382	one
common_voice_en_22059477	four
common_voice_en_22038263	two
common_voice_en_22038264	no
common_voice_en_22154034	yes
common_voice_en_22074535	four
common_voice_en_22074804	no
common_voice_en_22093657	four
common_voice_en_22070617	one
common_voice_en_21999541	four
common_voice_en_21930020	one
common_voice_en_22196356	one
common_voice_en_22067577	no
common_voice_en_22067578	four
common_voice_en_22137343	two
common_voice_en_22064456	two
common_voice_en_22004387	no
common_voice_en_22004388	one
common_voice_en_22321697	yes
common_voice_en_22060973	one
common_voice_en_22179192	no
common_voice_en_22075803	one
common_voice_en_22153452	no
common_voice_en_22073913	no
common_voice_en_22300068	yes
common_voice_en_22179937	four
common_voice_en_22191134	two
common_voice_en_22157686	one
common_voice_en_22311292	yes
common_voice_en_22120347	two
common_voice_en_22305710	no
common_voice_en_22305715	yes
common_voice_en_22083068	three
common_voice_en_22148397	four
common_voice_en_22310696	yes
common_voice_en_22156163	four
common_voice_en_22158163	yes
common_voice_en_22158166	four
common_voice_en_22024408	four
common_voice_en_22024413	two
common_voice_en_22237434	two
common_voice_en_22128457	no
common_voice_en_22263102	two
common_voice_en_22262468	two
common_voice_en_22216413	one
common_voice_en_22216415	four
common_voice_en_22319916	yes
common_voice_en_22171717	four
common_voice_en_22239665	three
common_voice_en_22239668	four
common_voice_en_22153227	two
common_voice_en_22021100	four
common_voice_en_22086892	one
common_voice_en_22187995	three
common_voice_en_22188003	one
common_voice_en_22152163	two
common_voice_en_22130234	yes
common_voice_en_22122381	yes
common_voice_en_22300343	yes
common_voice_en_22308283	yes
common_voice_en_22192709	no
common_voice_en_22192710	one
common_voice_en_22323159	yes
common_voice_en_21946272	yes
common_voice_en_21946288	three
common_voice_en_21927871	four
common_voice_en_21927873	two
common_voice_en_22317651	yes
common_voice_en_22074425	three
common_voice_en_22074426	one
common_voice_en_22318041	yes
common_voice_en_22310771	yes
common_voice_en_22309413	yes
common_voice_en_22308784	yes
common_voice_en_22298921	yes
common_voice_en_22157719	no
common_voice_en_22179662	four
common_voice_en_21948745	two
common_voice_en_22308879	yes
common_voice_en_22043415	four
common_voice_en_22227441	no
common_voice_en_22137125	two
common_voice_en_22194492	two
common_voice_en_22314722	yes
common_voice_en_22042508	two
common_voice_en_21955633	no
common_voice_en_21949266	no
common_voice_en_21994514	four
common_voice_en_22204385	three
common_voice_en_22279109	one
common_voice_en_22251705	two
common_voice_en_22251715	no
common_voice_en_22322431	yes
common_voice_en_21953238	two
common_voice_en_22289602	no
common_voice_en_22121536	three
common_voice_en_22314299	yes
common_voice_en_22048724	one
common_voice_en_22050535	one
common_voice_en_22050536	three
common_voice_en_22180953	one
common_voice_en_22041180	no
common_voice_en_21936151	yes
common_voice_en_22315875	yes
common_voice_en_22160830	four
common_voice_en_22217701	four
common_voice_en_22175205	no
common_voice_en_22062759	yes
common_voice_en_22312458	yes
common_voice_en_22080175	yes
common_voice_en_21980995	four
common_voice_en_21981007	yes
common_voice_en_21995024	three
common_voice_en_21995025	yes
common_voice_en_21969716	no
common_voice_en_22072459	yes
common_voice_en_22053104	no
common_voice_en_22106764	one
common_voice_en_22161850	three
common_voice_en_22161852	four
common_voice_en_22190937	no
common_voice_en_22113564	yes
common_voice_en_22073736	three
common_voice_en_22073738	four
common_voice_en_22073740	no
common_voice_en_22219658	three
common_voice_en_22035169	three
common_voice_en_22035180	no
common_voice_en_22035183	four
common_voice_en_22122491	no
common_voice_en_22122505	one
common_voice_en_22283040	one
common_voice_en_22211233	three
common_voice_en_22211235	four
common_voice_en_21946514	one
common_voice_en_22280087	one
common_voice_en_21991023	one
common_voice_en_21991024	three
common_voice_en_22009478	one
common_voice_en_22158855	yes
common_voice_en_21947955	no
common_voice_en_22001935	three
common_voice_en_22133226	one
common_voice_en_22123591	two
common_voice_en_22123593	one
common_voice_en_22055752	two
common_voice_en_22122181	two
common_voice_en_22122200	yes
common_voice_en_22195413	one
common_voice_en_22104680	yes
common_voice_en_22104681	one
common_voice_en_22201115	two
common_voice_en_22201116	three
common_voice_en_22057664	one
common_voice_en_22014664	yes
common_voice_en_21958420	four
common_voice_en_21958423	yes
common_voice_en_22184843	four
common_voice_en_22184846	one
common_voice_en_22253237	no
common_voice_en_22141739	yes
common_voice_en_22222707	three
common_voice_en_22194844	one
common_voice_en_22003266	no
common_voice_en_22200722	no
common_voice_en_22200726	three
common_voice_en_22073536	three
common_voice_en_22039232	yes
common_voice_en_22039365	no
common_voice_en_22111891	no
common_voice_en_22111893	yes
common_voice_en_22227605	two
common_voice_en_22227607	yes
common_voice_en_22227609	three
common_voice_en_21964290	one
common_voice_en_21964295	two
common_voice_en_22150571	three
common_voice_en_22150574	four
common_voice_en_22012515	yes
common_voice_en_22012517	two
common_voice_en_22012519	no
common_voice_en_22203454	three
common_voice_en_22203461	one
common_voice_en_22005964	two
common_voice_en_22005967	four
common_voice_en_21930774	no
common_voice_en_22074387	one
common_voice_en_21941558	four
common_voice_en_21941560	yes
common_voice_en_22127455	yes
common_voice_en_22191671	yes
common_voice_en_22104895	three
common_voice_en_22104897	two
common_voice_en_22158076	four
common_voice_en_22158077	three
common_voice_en_22069453	yes
common_voice_en_22162421	four
common_voice_en_21953456	no
common_voice_en_21953459	one
common_voice_en_22107885	yes
common_voice_en_21973221	one
common_voice_en_21973224	three
common_voice_en_21973227	four
common_voice_en_22121678	four
common_voice_en_22023367	one
common_voice_en_22183856	no
common_voice_en_22093175	two
common_voice_en_21949036	yes
common_voice_en_21949038	four
common_voice_en_22131123	two
common_voice_en_22131125	four
common_voice_en_22113454	three
common_voice_en_22296905	one
common_voice_en_22296907	no
common_voice_en_22045881	yes
common_voice_en_22045882	one
common_voice_en_22049472	one
common_voice_en_22156288	two
common_voice_en_22096092	no
